zip,State,County
27046,37,169
26855,54,23
26807,54,71
26810,54,31
26817,54,27
26804,54,71
27107,37,67
27262,37,81
27229,37,123
27291,37,33
27284,37,81
27207,37,37
27403,37,81
27332,37,85
27409,37,81
27417,37,81
27420,37,81
27530,37,191
27529,37,183
27516,37,135
27540,37,183
27544,37,69
27597,37,127
27603,37,183
27565,37,77
27572,37,135
27713,37,63
27709,37,63
27806,37,13
27812,37,147
27820,37,131
27616,37,183
27615,37,183
27620,37,183
27844,37,83
27829,37,65
27828,37,147
27830,37,191
27833,37,147
27822,37,195
27823,37,83
27829,37,147
27890,37,83
27909,37,139
27888,37,79
27960,37,95
27966,37,53
27871,37,117
27860,37,13
27885,37,95
28650,37,109
28643,37,9
28669,37,193
28622,37,11
28078,37,119
28054,37,71
28097,37,167
28043,37,161
28105,37,119
28114,37,45
28107,37,25
28105,37,179
28147,37,159
28124,37,25
28127,37,123
28213,37,119
28269,37,119
28215,37,119
28312,37,51
28315,37,125
28327,37,125
28377,37,155
28372,37,155
28377,37,93
28373,37,125
28420,37,19
28447,37,163
28449,37,129
28466,37,61
28467,37,19
28546,37,133
28530,37,107
28538,37,79
28582,37,31
28521,37,61
28526,37,49
28518,37,61
28510,37,137
28740,37,199
28753,37,21
28754,37,199
28766,37,175
28783,37,99
28901,37,39
28905,37,39
28902,37,43
29720,45,57
29710,45,91
29729,45,23
28804,37,21
28792,37,89
29006,45,81
29731,45,91
29067,45,55
29075,45,71
29070,45,81
29082,45,29
29125,45,85
29104,45,61
29045,45,79
29052,45,79
29036,45,79
29033,45,63
29056,45,89
29058,45,55
29128,45,85
29160,45,17
29201,45,79
29160,45,63
29161,45,31
29353,45,87
29370,45,59
29419,45,19
29423,45,19
29445,45,15
29449,45,19
29456,45,15
29379,45,87
29486,45,15
29472,45,29
29526,45,51
29528,45,51
29547,45,33
29554,45,89
29505,45,41
29577,45,51
29572,45,51
29607,45,45
29615,45,45
29609,45,45
29606,45,45
29630,45,77
29625,45,7
29626,45,7
29649,45,47
29697,45,7
29691,45,73
29902,45,13
29907,45,13
29678,45,73
29673,45,45
30005,13,121
29944,45,49
30032,13,89
30038,13,89
30067,13,67
30048,13,135
30054,13,297
30055,13,217
30083,13,89
30114,13,57
30113,13,143
30107,13,57
30105,13,55
30087,13,89
30121,13,15
30143,13,227
30148,13,227
30157,13,223
30127,13,223
30133,13,97
30179,13,223
30182,13,45
30179,13,45
30170,13,45
30177,13,227
30178,13,15
30233,13,35
30222,13,199
30220,13,199
30257,13,171
30313,13,121
30292,13,255
30290,13,113
30324,13,121
30510,13,137
30554,13,139
30528,13,187
30530,13,119
30631,13,265
30635,13,105
30669,13,133
30666,13,13
30620,13,135
29821,45,37
31156,13,121
30441,13,107
30450,13,31
30452,13,31
29860,45,37
30914,13,245
31008,13,153
31028,13,153
31030,13,79
31049,13,167
31031,13,319
31088,13,153
31087,13,141
31098,13,153
31216,13,21
31210,13,207
31066,13,79
31076,13,193
31419,13,51
31408,13,51
31409,13,51
31523,13,127
31522,13,127
31401,13,51
31545,13,305
31535,13,69
31544,13,271
31532,13,161
31626,13,275
31602,13,185
31602,13,27
31606,13,185
31699,13,185
31703,13,95
31560,13,305
31553,13,25
31555,13,305
31557,13,1
31712,13,287
31714,13,287
31743,13,261
31804,13,145
31787,13,261
31811,13,145
31901,13,215
31806,13,249
31829,13,145
31826,13,145
31816,13,199
31822,13,285
31836,13,263
31768,13,71
31775,13,71
31773,13,131
32061,12,23
32062,12,121
32024,12,121
32006,12,19
32205,12,31
32266,12,31
32340,12,79
32344,12,65
32351,12,39
32407,12,5
32456,12,5
32433,12,131
32343,12,39
32505,12,33
32465,12,45
32504,12,33
32561,12,33
32501,12,33
32640,12,107
32643,12,41
32609,12,1
32626,12,75
32579,12,91
32669,12,41
32696,12,83
32580,12,91
33028,12,11
33065,12,11
33067,12,11
33069,12,11
33071,12,11
33043,12,87
33021,12,11
39828,13,131
33024,12,11
33027,12,11
33023,12,86
34474,12,83
34476,12,83
34442,12,17
34483,12,83
33185,12,86
33193,12,86
33308,12,11
33190,12,86
33138,12,86
33149,12,86
33122,12,86
33404,12,99
33408,12,99
33409,12,99
33351,12,11
33425,12,99
33458,12,99
33461,12,99
33470,12,99
33443,12,11
33472,12,99
32738,12,127
32792,12,95
32792,12,117
32751,12,117
32744,12,127
32701,12,117
32703,12,95
32707,12,117
32139,12,107
32190,12,127
33484,12,99
33486,12,99
32113,12,83
33488,12,99
34996,12,85
33493,12,99
32904,12,9
32907,12,9
32911,12,9
32962,12,61
33511,12,57
32923,12,9
32925,12,9
33559,12,57
33559,12,101
33566,12,57
33594,12,57
33603,12,57
32826,12,95
32862,12,95
32805,12,95
33673,12,57
33609,12,57
33707,12,103
33713,12,103
33762,12,103
33764,12,103
33709,12,103
33778,12,103
33993,12,71
33981,12,15
33982,12,15
34134,12,21
33917,12,71
33948,12,15
33971,12,71
33904,12,71
33938,12,15
33852,12,55
33853,12,105
33859,12,105
33868,12,105
33880,12,105
33846,12,105
34652,12,101
34668,12,101
34711,12,69
34758,12,97
34698,12,103
34785,12,119
34788,12,69
34231,12,115
34217,12,81
34237,12,115
34243,12,81
34275,12,115
35016,1,95
35031,1,9
35051,1,117
35054,1,115
35010,1,51
35057,1,43
35004,1,73
35078,1,117
35087,1,43
35143,1,117
35173,1,73
35124,1,117
35180,1,73
35094,1,115
35205,1,73
35178,1,117
35135,1,115
35096,1,15
35650,1,79
35744,1,71
35677,1,77
35772,1,71
35586,1,75
35611,1,83
35565,1,93
35574,1,75
35616,1,33
35480,1,125
35215,1,73
35218,1,73
35212,1,73
35441,1,65
35462,1,63
35457,1,125
36037,1,13
36054,1,51
36069,1,101
35978,1,71
36033,1,13
36105,1,101
36017,1,5
36032,1,13
36047,1,85
36003,1,1
36006,1,1
36006,1,21
36117,1,101
36251,1,27
36264,1,111
36268,1,121
36206,1,15
36124,1,101
36303,1,45
36276,1,111
35806,1,89
35976,1,95
35962,1,49
35968,1,49
35975,1,95
36344,1,61
36353,1,45
36420,1,39
36322,1,45
36435,1,131
36436,1,25
36529,1,129
37066,47,165
37072,47,147
37096,47,135
37101,47,85
37072,47,165
37029,47,43
37037,47,149
30753,13,55
37047,47,117
37015,47,125
37026,47,31
37023,47,161
36775,1,85
37343,47,65
37310,47,11
37360,47,3
37217,47,37
37377,47,65
37357,47,31
37356,47,115
37359,47,103
37369,47,139
37397,47,115
37388,47,51
37384,47,65
37660,47,163
37662,47,163
37656,47,179
37160,47,3
37188,47,165
37135,47,187
37181,47,83
37210,47,37
37150,47,111
37190,47,177
37142,47,125
37148,47,147
37754,47,93
37729,47,13
37755,47,151
37764,47,155
37726,47,129
37753,47,29
37711,47,59
37771,47,105
37722,47,29
37756,47,151
37723,47,35
37722,47,155
37841,47,151
37854,47,145
37818,47,59
37886,47,9
37820,47,89
37830,47,145
37919,47,93
37847,47,151
37860,47,63
37819,47,13
38305,47,113
38375,47,109
38478,47,55
38315,47,23
38392,47,113
38401,47,119
38251,47,79
38332,47,109
38461,47,101
38374,47,77
38109,47,157
38125,47,157
38139,47,157
38220,47,17
38221,47,5
38157,47,157
38232,47,131
38137,47,157
37931,47,93
37934,47,93
38011,47,167
38037,47,97
38041,47,97
38069,47,75
38001,47,33
38067,47,69
37933,47,93
38017,47,47
38683,28,3
38683,28,139
38751,28,133
38826,28,115
38804,28,57
39059,28,29
38916,28,13
38922,28,43
39096,28,63
38878,28,13
39073,28,127
39057,28,101
39094,28,123
38952,28,83
39063,28,51
38483,47,99
36908,1,23
38543,47,133
38570,47,133
38620,28,107
38626,28,27
38629,28,139
38567,47,159
38581,47,175
38617,28,27
38611,28,33
38642,28,93
39149,28,127
39170,28,49
39212,28,49
39116,28,129
39114,28,127
39327,28,101
39216,28,49
39347,28,61
39347,28,23
39451,28,41
39330,28,23
39427,28,65
39443,28,61
39452,28,41
39354,28,159
39332,28,101
40217,21,111
39470,28,45
40207,21,111
40228,21,111
40162,21,93
40145,21,27
39746,28,95
39759,28,105
39744,28,155
39751,28,155
40011,21,41
39653,28,37
39760,28,105
39661,28,37
39756,28,25
39766,28,87
40107,21,179
40109,21,29
39666,28,5
40041,21,111
40118,21,111
40057,21,103
40045,21,41
40060,21,155
39565,28,59
39563,28,59
39560,28,47
39479,28,31
39573,28,39
42256,21,31
42276,21,141
42262,21,47
42328,21,183
42261,21,31
42450,21,233
42280,21,219
42259,21,61
42420,21,101
42151,21,171
42408,21,107
42333,21,183
42215,21,47
42404,21,233
42754,21,85
42732,21,93
42733,21,217
47126,18,19
47141,18,19
40383,21,239
40456,21,203
40370,21,209
40350,21,181
40507,21,67
40489,21,137
40464,21,21
40511,21,67
40346,21,165
41763,21,193
41465,21,153
41472,21,175
41531,21,195
42036,21,35
41535,21,195
41754,21,193
41832,21,133
42031,21,105
42002,21,145
41601,21,71
41635,21,71
41659,21,71
42050,21,75
42076,21,35
42086,21,145
41564,21,195
42069,21,83
44017,39,35
44023,39,55
44001,39,93
44021,39,55
44022,39,35
44026,39,55
43953,39,81
44062,39,55
44074,39,93
44077,39,85
44087,39,153
44067,39,153
44086,39,7
44010,39,7
43986,39,67
43567,39,51
43606,39,95
43515,39,51
43526,39,39
43938,39,81
43610,39,95
43946,39,111
43557,39,171
43518,39,171
47666,18,51
47715,18,163
47161,18,61
43465,39,173
43463,39,173
43402,39,173
43447,39,173
43406,39,173
43450,39,173
47716,18,163
40769,21,235
40823,21,95
40958,21,13
41102,21,19
41144,21,89
40517,21,67
40856,21,13
41171,21,63
40865,21,95
40903,21,121
40977,21,13
41352,21,175
44139,39,35
44140,39,35
44212,39,103
44223,39,153
44240,39,133
44301,39,153
44303,39,153
44432,39,29
44270,39,103
44262,39,153
44127,39,35
44121,39,35
44509,39,99
44512,39,99
44644,39,19
44609,39,99
44634,39,151
44669,39,151
44504,39,99
44651,39,19
44656,39,157
44657,39,151
44662,39,151
44630,39,151
44827,39,33
44851,39,77
44708,39,151
44811,39,147
44855,39,77
44830,39,173
44866,39,5
44807,39,77
45801,39,3
44818,39,147
45806,39,3
44864,39,5
45814,39,63
45806,39,11
43209,39,49
43160,39,47
43082,39,41
43119,39,49
43213,39,49
43135,39,129
43155,39,45
43148,39,45
43210,39,49
43025,39,89
43026,39,49
43028,39,83
41093,21,135
43056,39,89
41095,21,77
43064,39,159
43072,39,21
45895,39,11
41001,21,37
41018,21,117
45879,39,125
45897,39,63
41048,21,15
41051,21,117
41033,21,191
45830,39,137
45064,39,17
45065,39,165
45068,39,57
45123,39,141
45130,39,15
45206,39,61
45219,39,61
45227,39,61
45242,39,61
45204,39,61
45238,39,61
45209,39,61
45217,39,61
45168,39,15
45162,39,25
43326,39,65
43780,39,121
43783,39,127
43812,39,31
43821,39,119
45002,39,61
45005,39,165
43779,39,121
43822,39,119
43226,39,49
43804,39,75
45324,39,57
45368,39,23
45323,39,23
45362,39,37
45420,39,113
45430,39,57
45432,39,57
45458,39,113
45459,39,113
45414,39,113
45431,39,57
45409,39,113
46164,18,13
46208,18,97
46147,18,11
46149,18,63
46147,18,63
46154,18,59
46158,18,63
46041,18,23
46060,18,57
46118,18,63
46050,18,11
46055,18,57
46131,18,81
46058,18,23
46065,18,23
46124,18,145
45714,39,167
47006,18,137
45694,39,145
45697,39,1
45723,39,9
45742,39,167
47060,18,29
46405,18,89
46514,18,39
46348,18,91
46506,18,99
46349,18,111
46565,18,87
46574,18,141
46567,18,39
46721,18,33
46725,18,183
46628,18,141
46539,18,85
46536,18,141
46730,18,33
46254,18,97
46231,18,97
46235,18,97
46250,18,97
46307,18,89
46256,18,57
46280,18,57
46278,18,63
46806,18,3
46825,18,3
46793,18,33
46903,18,67
46929,18,67
46783,18,69
46785,18,33
46742,18,151
46996,18,131
47203,18,5
47240,18,47
47303,18,35
46960,18,149
47304,18,35
47227,18,79
46989,18,53
47273,18,79
46985,18,131
47274,18,79
48025,26,125
48042,26,99
48043,26,99
48032,26,147
48048,26,99
48049,26,147
48065,26,99
48050,26,99
47561,18,83
47940,18,107
47951,18,111
47957,18,131
47978,18,73
47557,18,83
47981,18,157
47930,18,157
47975,18,171
47573,18,83
47339,18,177
47396,18,35
47448,18,13
47340,18,135
47452,18,117
47346,18,177
47446,18,93
47433,18,119
48166,26,115
48174,26,163
48146,26,163
48164,26,163
48138,26,163
48185,26,163
48179,26,115
48210,26,163
48197,26,161
48189,26,161
48072,26,125
48082,26,99
48120,26,163
48105,26,161
48109,26,161
48239,26,163
48240,26,163
48301,26,125
48386,26,125
48453,26,87
48433,26,49
48848,26,155
48858,26,73
48866,26,155
48878,26,73
48888,26,117
48891,26,117
48842,26,65
49009,26,77
48873,26,67
48856,26,57
48841,26,155
48708,26,17
48720,26,63
48738,26,1
48727,26,87
48626,26,145
48661,26,129
48817,26,155
48703,26,11
48732,26,17
48837,26,37
48618,26,111
48653,26,39
48809,26,81
48767,26,157
48507,26,49
49221,26,91
49235,26,91
48506,26,49
48505,26,49
48601,26,145
49229,26,91
49252,26,59
48604,26,145
49230,26,75
49264,26,65
49270,26,115
49269,26,75
49321,26,81
49341,26,81
49418,26,81
49337,26,123
49343,26,117
49301,26,81
49403,26,139
49328,26,5
49303,26,121
49429,26,139
49506,26,81
49509,26,81
49456,26,139
49534,26,81
49457,26,121
49615,26,9
49453,26,5
49632,26,113
49655,26,133
49451,26,121
49638,26,165
49643,26,55
49022,26,21
49058,26,15
49067,26,159
49031,26,27
49078,26,5
49043,26,159
49107,26,21
49056,26,5
49092,26,25
49097,26,77
49099,26,27
49106,26,21
49709,26,119
49679,26,133
49707,26,141
49759,26,141
49801,26,43
49821,26,109
49665,26,133
49716,26,31
49696,26,55
49861,26,103
49690,26,9
50023,19,153
49948,26,131
49913,26,61
49911,26,53
50134,19,169
