,COUNTY,Battery Electric % Unadj,Battery Electric % adj,Hybrid Gasoline % Unadj,Hybrid Gasoline % adj,Plug Electric % Unadj,Plug Electric % adj,% Unadj Low Emission,% Adj Low Emission
33,67,0.004047106336053328,0.0040774891599912886,0.03407837787741316,0.034285425985953,0.004047106336053328,0.0040774891599912886,0.042172590549519814,0.042440404305935577
34,69,0.002494729883121905,0.0026213804318805166,0.020107522857962554,0.02121376386540344,0.002494729883121905,0.0026213804318805166,0.025096982624206364,0.026456524729164474
35,71,0.002462442600535357,0.002412305796804884,0.02064209457382985,0.02042191881853159,0.002462442600535357,0.002412305796804884,0.025566979774900564,0.025246530412141355
36,73,0.007324785531618398,0.0072821448805432416,0.036574104359652714,0.03656365871395375,0.007324785531618398,0.0072821448805432416,0.051223675422889504,0.05112794847504023
37,75,0.014100186345105856,0.014100186345105856,0.07484605078179142,0.07484605078179142,0.014100186345105856,0.014100186345105856,0.10304642347200314,0.10304642347200314
38,77,0.0026305669291847504,0.0023421759219783506,0.022211162781679103,0.02128977092827801,0.0026305669291847504,0.0023421759219783506,0.027472296640048605,0.02597412277223471
39,79,0.00400797802565991,0.004528255202687482,0.030296900138762014,0.0329227864870364,0.00400797802565991,0.004528255202687482,0.03831285619008183,0.04197929689241136
40,81,0.01577511663814116,0.015431424975161156,0.05403884866777046,0.05384715698798297,0.01577511663814116,0.015431424975161156,0.08558908194405278,0.08471000693830529
41,83,0.0055252469739822795,0.006052362979235041,0.032146160342077394,0.03407999859766208,0.0055252469739822795,0.006052362979235041,0.04319665429004196,0.04618472455613216
42,85,0.020393387796664005,0.021234402194600703,0.04712409325093769,0.048145423056825655,0.020393387796664005,0.021234402194600703,0.08791086884426569,0.09061422744602707
43,87,0.00903313128935444,0.01019072292195254,0.0461072206202554,0.051759247624318445,0.00903313128935444,0.01019072292195254,0.06417348319896428,0.07214069346822352
44,89,0.0012569515552476194,0.0012927016266041694,0.020564953738051298,0.020715897507383754,0.0012569515552476194,0.0012927016266041694,0.023078856848546533,0.02330130076059209
45,93,0.0012153331208160662,0.0012409147314305974,0.012432260121134842,0.01259684870225346,0.0012153331208160662,0.0012409147314305974,0.014862926362766975,0.015078678165114654
46,95,0.0038457830836280244,0.0037157785339046994,0.032841363984596576,0.03253370538574337,0.0038457830836280244,0.0037157785339046994,0.04053293015185263,0.03996526245355277
47,97,0.008041478282385226,0.007979456180381034,0.04326202847695526,0.04320714501260134,0.008041478282385226,0.007979456180381034,0.05934498504172571,0.059166057373363404
48,99,0.0019642869851753267,0.0019814147649802574,0.01747930737532827,0.017673784227851375,0.0019642869851753267,0.0019814147649802574,0.021407881345678923,0.02163661375781189
49,101,0.0013123096650104183,0.0011060596814548116,0.016639285141849654,0.016411637273448465,0.0013123096650104183,0.0011060596814548116,0.019263904471870492,0.01862375663635809
50,103,0.0009454387308430477,0.000899887021483434,0.017991699047943198,0.01690079785603559,0.0009454387308430477,0.000899887021483434,0.019882576509629296,0.01870057189900246
51,105,0.000635952515545506,0.0006414520573980805,0.0105992085924251,0.010548322721657323,0.000635952515545506,0.0006414520573980805,0.011871113623516111,0.011831226836453483
52,107,0.002566967521504765,0.0023311259695010275,0.013530661992154134,0.013325304394685036,0.002566967521504765,0.0023311259695010275,0.018664597035163665,0.01798755633368709
53,109,0.0012878573450325502,0.001197614681930059,0.014534390036795923,0.014206187951170355,0.0012878573450325502,0.001197614681930059,0.017110104726861024,0.016601417315030474
54,111,0.00627733973301049,0.005694336953979175,0.03591358052642429,0.034537154663353484,0.00627733973301049,0.005694336953979175,0.04846825999244527,0.04592582857131183
55,113,0.005277607484606978,0.005179467987586938,0.03788682463949676,0.038224200425542657,0.005277607484606978,0.005179467987586938,0.04844203960871071,0.04858313640071653
56,115,0.0008656776595870837,0.0008722039503570585,0.01814365505709915,0.018882609828042567,0.0008656776595870837,0.0008722039503570585,0.01987501037627332,0.020627017728756684
57,91,,,0.01173563928350834,0.011099983308295779,,,,
