Column1,ZCTA5,STATE,COUNTY,Column2,Column3
41131,91105,6,37,Los Angeles,Los Angeles - 91105
41132,91106,6,37,Los Angeles,Los Angeles - 91106
41133,91107,6,37,Los Angeles,Los Angeles - 91107
41134,91108,6,37,Los Angeles,Los Angeles - 91108
41135,91201,6,37,Los Angeles,Los Angeles - 91201
41136,91202,6,37,Los Angeles,Los Angeles - 91202
41137,91203,6,37,Los Angeles,Los Angeles - 91203
41138,91204,6,37,Los Angeles,Los Angeles - 91204
41139,91205,6,37,Los Angeles,Los Angeles - 91205
41140,91206,6,37,Los Angeles,Los Angeles - 91206
41141,91207,6,37,Los Angeles,Los Angeles - 91207
41142,91208,6,37,Los Angeles,Los Angeles - 91208
41143,91210,6,37,Los Angeles,Los Angeles - 91210
41144,91214,6,37,Los Angeles,Los Angeles - 91214
41145,91301,6,37,Los Angeles,Los Angeles - 91301
41146,91302,6,37,Los Angeles,Los Angeles - 91302
41147,91303,6,37,Los Angeles,Los Angeles - 91303
41148,91304,6,37,Los Angeles,Los Angeles - 91304
41149,91304,6,111,Ventura,Ventura - 91304
41150,91306,6,37,Los Angeles,Los Angeles - 91306
41151,91307,6,37,Los Angeles,Los Angeles - 91307
41152,91307,6,111,Ventura,Ventura - 91307
41153,91311,6,37,Los Angeles,Los Angeles - 91311
41154,91311,6,111,Ventura,Ventura - 91311
41155,91316,6,37,Los Angeles,Los Angeles - 91316
41156,91320,6,111,Ventura,Ventura - 91320
41157,91321,6,37,Los Angeles,Los Angeles - 91321
41158,91324,6,37,Los Angeles,Los Angeles - 91324
41159,91325,6,37,Los Angeles,Los Angeles - 91325
41160,91326,6,37,Los Angeles,Los Angeles - 91326
41161,91330,6,37,Los Angeles,Los Angeles - 91330
41162,91331,6,37,Los Angeles,Los Angeles - 91331
41163,91335,6,37,Los Angeles,Los Angeles - 91335
41164,91340,6,37,Los Angeles,Los Angeles - 91340
41165,91342,6,37,Los Angeles,Los Angeles - 91342
41166,91343,6,37,Los Angeles,Los Angeles - 91343
41167,91344,6,37,Los Angeles,Los Angeles - 91344
41168,91345,6,37,Los Angeles,Los Angeles - 91345
41169,91350,6,37,Los Angeles,Los Angeles - 91350
41170,91351,6,37,Los Angeles,Los Angeles - 91351
41171,91352,6,37,Los Angeles,Los Angeles - 91352
41172,91354,6,37,Los Angeles,Los Angeles - 91354
41173,91355,6,37,Los Angeles,Los Angeles - 91355
41174,91356,6,37,Los Angeles,Los Angeles - 91356
41175,91360,6,111,Ventura,Ventura - 91360
41176,91361,6,37,Los Angeles,Los Angeles - 91361
41177,91361,6,111,Ventura,Ventura - 91361
41178,91362,6,37,Los Angeles,Los Angeles - 91362
41179,91362,6,111,Ventura,Ventura - 91362
41180,91364,6,37,Los Angeles,Los Angeles - 91364
41181,91367,6,37,Los Angeles,Los Angeles - 91367
41182,91371,6,37,Los Angeles,Los Angeles - 91371
41183,91377,6,111,Ventura,Ventura - 91377
41184,91381,6,37,Los Angeles,Los Angeles - 91381
41185,91384,6,37,Los Angeles,Los Angeles - 91384
41186,91387,6,37,Los Angeles,Los Angeles - 91387
41187,91390,6,37,Los Angeles,Los Angeles - 91390
41188,91401,6,37,Los Angeles,Los Angeles - 91401
41189,91402,6,37,Los Angeles,Los Angeles - 91402
41190,91403,6,37,Los Angeles,Los Angeles - 91403
41191,91405,6,37,Los Angeles,Los Angeles - 91405
41192,91406,6,37,Los Angeles,Los Angeles - 91406
41193,91411,6,37,Los Angeles,Los Angeles - 91411
41194,91423,6,37,Los Angeles,Los Angeles - 91423
41195,91436,6,37,Los Angeles,Los Angeles - 91436
41196,91501,6,37,Los Angeles,Los Angeles - 91501
41197,91502,6,37,Los Angeles,Los Angeles - 91502
41198,91504,6,37,Los Angeles,Los Angeles - 91504
41199,91505,6,37,Los Angeles,Los Angeles - 91505
41200,91506,6,37,Los Angeles,Los Angeles - 91506
41201,91601,6,37,Los Angeles,Los Angeles - 91601
41202,91602,6,37,Los Angeles,Los Angeles - 91602
41203,91604,6,37,Los Angeles,Los Angeles - 91604
41204,91605,6,37,Los Angeles,Los Angeles - 91605
41205,91606,6,37,Los Angeles,Los Angeles - 91606
41206,91607,6,37,Los Angeles,Los Angeles - 91607
41207,91608,6,37,Los Angeles,Los Angeles - 91608
41208,91701,6,71,San Bernardino,San Bernardino - 91701
41209,91702,6,37,Los Angeles,Los Angeles - 91702
41210,91706,6,37,Los Angeles,Los Angeles - 91706
41211,91708,6,71,San Bernardino,San Bernardino - 91708
41212,91709,6,71,San Bernardino,San Bernardino - 91709
41213,91710,6,71,San Bernardino,San Bernardino - 91710
41214,91711,6,37,Los Angeles,Los Angeles - 91711
41215,91722,6,37,Los Angeles,Los Angeles - 91722
41216,91723,6,37,Los Angeles,Los Angeles - 91723
41217,91724,6,37,Los Angeles,Los Angeles - 91724
41218,91730,6,71,San Bernardino,San Bernardino - 91730
41219,91731,6,37,Los Angeles,Los Angeles - 91731
41220,91732,6,37,Los Angeles,Los Angeles - 91732
41221,91733,6,37,Los Angeles,Los Angeles - 91733
41222,91737,6,71,San Bernardino,San Bernardino - 91737
41223,91739,6,71,San Bernardino,San Bernardino - 91739
41224,91740,6,37,Los Angeles,Los Angeles - 91740
41225,91741,6,37,Los Angeles,Los Angeles - 91741
41226,91744,6,37,Los Angeles,Los Angeles - 91744
41227,91745,6,37,Los Angeles,Los Angeles - 91745
41228,91746,6,37,Los Angeles,Los Angeles - 91746
41229,91748,6,37,Los Angeles,Los Angeles - 91748
41230,91750,6,37,Los Angeles,Los Angeles - 91750
41231,91752,6,65,Riverside,Riverside - 91752
41232,91754,6,37,Los Angeles,Los Angeles - 91754
41233,91755,6,37,Los Angeles,Los Angeles - 91755
