,ZCTA5,STATE,COUNTY
41364,92154,6,73
41365,92155,6,73
41366,92173,6,73
41367,92201,6,65
41368,92203,6,65
41369,92210,6,65
41370,92211,6,65
41371,92220,6,65
41372,92222,6,25
41373,92223,6,65
41374,92225,6,25
41375,92225,6,65
41376,92227,6,25
41377,92230,6,65
41378,92231,6,25
41379,92233,6,25
41380,92234,6,65
41381,92236,6,65
41382,92239,6,65
41383,92240,6,65
41384,92241,6,65
41385,92242,6,71
41386,92243,6,25
41387,92249,6,25
41388,92250,6,25
41389,92251,6,25
41390,92252,6,71
41391,92253,6,65
41392,92254,6,65
41393,92256,6,71
41394,92257,6,25
41395,92258,6,65
41396,92259,6,25
41397,92260,6,65
41398,92262,6,65
41399,92264,6,65
41400,92266,6,25
41401,92267,6,71
41402,92268,6,71
41403,92270,6,65
41404,92273,6,25
41405,92274,6,25
41406,92274,6,65
41407,92275,6,25
41408,92276,6,65
41409,92277,6,65
41410,92277,6,71
41411,92278,6,71
41412,92280,6,71
41413,92281,6,25
41414,92282,6,65
41415,92283,6,25
41416,92284,6,71
41417,92285,6,71
41418,92301,6,71
41419,92304,6,71
41420,92305,6,71
41421,92307,6,71
41422,92308,6,71
41423,92309,6,71
41424,92310,6,71
41425,92311,6,71
41426,92313,6,71
41427,92314,6,71
41428,92315,6,71
41429,92316,6,71
41430,92320,6,65
41431,92321,6,71
41432,92322,6,71
41433,92324,6,65
41434,92324,6,71
41435,92325,6,71
41436,92327,6,71
41437,92328,6,27
41438,92332,6,71
41439,92333,6,71
41440,92335,6,71
41441,92336,6,71
41442,92337,6,71
41443,92338,6,71
41444,92339,6,71
41445,92341,6,71
41446,92342,6,71
41447,92344,6,71
41448,92345,6,71
41449,92346,6,71
41450,92347,6,71
41451,92352,6,71
41452,92354,6,71
41453,92356,6,71
41454,92358,6,71
41455,92359,6,71
41456,92363,6,71
41457,92364,6,71
41458,92365,6,71
41459,92368,6,71
41460,92371,6,71
41461,92372,6,71
41462,92373,6,65
41463,92373,6,71
41464,92374,6,71
41465,92376,6,71
41466,92377,6,71
41467,92378,6,71
41468,92382,6,71
41469,92384,6,27
41470,92385,6,71
41471,92386,6,71
41472,92389,6,27
41473,92391,6,71
41474,92392,6,71
41475,92394,6,71
41476,92395,6,71
41477,92397,6,37
41478,92397,6,71
41479,92398,6,71
41480,92399,6,65
41481,92399,6,71
41482,92401,6,71
41483,92404,6,71
41484,92405,6,71
41485,92407,6,71
41486,92408,6,71
41487,92410,6,71
41488,92411,6,71
41489,92501,6,65
41490,92503,6,65
41491,92504,6,65
41492,92505,6,65
41493,92506,6,65
41494,92507,6,65
41495,92508,6,65
41496,92509,6,65
41497,92509,6,71
41498,92518,6,65
41499,92530,6,59
41500,92530,6,65
41501,92532,6,65
41502,92536,6,65
41503,92539,6,65
41504,92543,6,65
41505,92544,6,65
41506,92545,6,65
41507,92548,6,65
41508,92549,6,65
41509,92551,6,65
41510,92553,6,65
41511,92555,6,65
41512,92557,6,65
41513,92561,6,65
41514,92562,6,65
41515,92563,6,65
41516,92567,6,65
41517,92570,6,65
